condition,auroc_mean,auroc_std,auroc,auprc_mean,auprc_std,auprc,f1_optimal_mean,f1_optimal_std,f1_optimal,optimal_threshold_mean,optimal_threshold_std,optimal_threshold,precision_mean,precision_std,precision,recall_mean,recall_std,recall,precision_at_recall_90_mean,precision_at_recall_90_std,precision_at_recall_90,precision_at_recall_80_mean,precision_at_recall_80_std,precision_at_recall_80,recall_at_precision_90_mean,recall_at_precision_90_std,recall_at_precision_90,recall_at_precision_80_mean,recall_at_precision_80_std,recall_at_precision_80,loss_mean,loss_std,loss
pretrained,0.8427878787878788,0.11484399127692776,0.843±0.115,0.49786456116931355,0.18576121139658516,0.498±0.186,0.5604761904294007,0.15994330060871267,0.560±0.160,0.5806,0.05154,0.581±0.052,0.7033333333333334,0.16944353369518447,0.703±0.169,0.48,0.15999999999999998,0.480±0.160,0.13344364153262028,0.05196125808904594,0.133±0.052,0.17660380199510634,0.06978357010592826,0.177±0.070,0.32,0.20396078054371136,0.320±0.204,0.32,0.20396078054371136,0.320±0.204,0.759599244594574,0.15392932987693433,0.760±0.154
random_init,0.8704282828282828,0.11974496205331257,0.870±0.120,0.41419680198105746,0.2003223815178512,0.414±0.200,0.4838146167100888,0.16647682478372525,0.484±0.166,0.4753,0.2527,0.475±0.253,0.3927272727272727,0.14828805759639466,0.393±0.148,0.6799999999999999,0.2712931993250107,0.680±0.271,0.20559580715309306,0.15317188159486614,0.206±0.153,0.31317622118537447,0.16208588282005978,0.313±0.162,0.08,0.09797958971132713,0.080±0.098,0.08,0.09797958971132713,0.080±0.098,0.8628859788179397,0.3957911471540899,0.863±0.396
frozen_pretrained,0.8226323232323234,0.06551770353564008,0.823±0.066,0.2760501484204226,0.13813812189894434,0.276±0.138,0.38370980866908055,0.0859078730195222,0.384±0.086,0.4275,0.1146,0.427±0.115,0.33674242424242423,0.17926874214432692,0.337±0.179,0.6,0.1264911064067352,0.600±0.126,0.11547588884365312,0.018803763435200828,0.115±0.019,0.14596884596884596,0.03526028282833033,0.146±0.035,0.08,0.09797958971132713,0.080±0.098,0.08,0.09797958971132713,0.080±0.098,0.8788932263851166,0.17980934749006225,0.879±0.180
