condition,metric,mean,ci_lower,ci_upper,ci_width
pretrained,auroc,0.8427878787878788,0.7277575757575758,0.9187878787878787,0.19103030303030288
pretrained,auprc,0.49786456116931355,0.3219414319418364,0.6388138222920832,0.3168723903502468
pretrained,f1_optimal,0.5604761904294007,0.41428571424126276,0.6866666666181636,0.2723809523769008
random_init,auroc,0.8704282828282828,0.7472444444444445,0.9496969696969696,0.2024525252525251
random_init,auprc,0.41419680198105746,0.23083479632708243,0.5873236021511884,0.35648880582410597
random_init,f1_optimal,0.4838146167100888,0.3232085561016761,0.6133333332844444,0.2901247771827683
frozen_pretrained,auroc,0.8226323232323234,0.7555737373737375,0.8666666666666666,0.11109292929292913
frozen_pretrained,auprc,0.2760501484204226,0.15577453479955636,0.39632576204128883,0.24055122724173247
frozen_pretrained,f1_optimal,0.38370980866908055,0.3078042327690552,0.45961538456910594,0.15181115180005073
