condition,metric,mean,ci_lower,ci_upper,ci_width
pretrained,auroc,0.38678660049627794,0.38678660049627794,0.38678660049627794,0.0
pretrained,auprc,0.041687600262583835,0.041687600262583835,0.041687600262583835,0.0
pretrained,f1_optimal,0.09737827714429435,0.09737827714429435,0.09737827714429435,0.0
random_init,auroc,0.7639578163771712,0.7639578163771712,0.7639578163771712,0.0
random_init,auprc,0.11405345208725581,0.11405345208725581,0.11405345208725581,0.0
random_init,f1_optimal,0.2432432432142805,0.2432432432142805,0.2432432432142805,0.0
frozen_pretrained,auroc,0.29714640198511166,0.29714640198511166,0.29714640198511166,0.0
frozen_pretrained,auprc,0.03546476509280453,0.03546476509280453,0.03546476509280453,0.0
frozen_pretrained,f1_optimal,0.09594095940046023,0.09594095940046023,0.09594095940046023,0.0
