condition,auroc_mean,auroc_std,auroc,auprc_mean,auprc_std,auprc,f1_optimal_mean,f1_optimal_std,f1_optimal,optimal_threshold_mean,optimal_threshold_std,optimal_threshold,precision_mean,precision_std,precision,recall_mean,recall_std,recall,precision_at_recall_90_mean,precision_at_recall_90_std,precision_at_recall_90,precision_at_recall_80_mean,precision_at_recall_80_std,precision_at_recall_80,recall_at_precision_90_mean,recall_at_precision_90_std,recall_at_precision_90,recall_at_precision_80_mean,recall_at_precision_80_std,recall_at_precision_80,loss_mean,loss_std,loss
pretrained,0.38678660049627794,0.0,0.387±0.000,0.041687600262583835,0.0,0.042±0.000,0.09737827714429435,0.0,0.097±0.000,0.29573414,0.0,0.296±0.000,0.051181102362204724,0.0,0.051±0.000,1.0,0.0,1.000±0.000,0.051181102362204724,0.0,0.051±0.000,0.051181102362204724,0.0,0.051±0.000,0.0,0.0,0.000±0.000,0.0,0.0,0.000±0.000,1.884055369430118,0.0,1.884±0.000
random_init,0.7639578163771712,0.0,0.764±0.000,0.11405345208725581,0.0,0.114±0.000,0.2432432432142805,0.0,0.243±0.000,0.0066890097,0.0,0.007±0.000,0.14754098360655737,0.0,0.148±0.000,0.6923076923076923,0.0,0.692±0.000,0.09448818897637795,0.0,0.094±0.000,0.09649122807017543,0.0,0.096±0.000,0.0,0.0,0.000±0.000,0.0,0.0,0.000±0.000,7.172551872001754,0.0,7.173±0.000
frozen_pretrained,0.29714640198511166,0.0,0.297±0.000,0.03546476509280453,0.0,0.035±0.000,0.09594095940046023,0.0,0.096±0.000,0.30991703,0.0,0.310±0.000,0.050387596899224806,0.0,0.050±0.000,1.0,0.0,1.000±0.000,0.050387596899224806,0.0,0.050±0.000,0.050387596899224806,0.0,0.050±0.000,0.0,0.0,0.000±0.000,0.0,0.0,0.000±0.000,1.8500900003645155,0.0,1.850±0.000
